Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
United Kingdom,4771367,128367,15729,4627271,22723,2.69,0.33,816.12,134862019,35380.0,4656536,114831,2.47
Uruguay,366915,5524,344803,16588,1049,1.51,93.97,1.6,3473727,105626.0,356382,10533,2.96
Uzbekistan,109692,731,105780,3181,469,0.67,96.43,0.69,33469199,3277.0,106452,3240,3.04
Vanuatu,4,1,3,0,0,25.0,75.0,33.33,292680,14.0,4,0,0.0
Venezuela,269635,3068,250528,16039,0,1.14,92.91,1.22,28435943,9482.0,262038,7597,2.9
Vietnam,16136,78,6519,9539,396,0.48,40.4,1.2,97338583,166.0,13530,2606,19.26
West Bank and Gaza,313851,3561,307892,2398,130,1.13,98.1,1.16,4543126,69083.0,312811,1040,0.33
Yemen,6909,1361,4032,1516,1,19.7,58.36,33.75,29825968,232.0,6889,20,0.29
Zambia,149661,2091,126441,21129,1093,1.4,84.48,1.65,18383956,8141.0,130631,19030,14.57
Zimbabwe,47284,1749,37949,7586,842,3.7,80.26,4.61,14862927,3181.0,42195,5089,12.06
